id,market_id,name,city,state,county,event_type,cadence,is_recurring_venue,food_truck_friendly,trip_type,verification_status,needs_confirmation,distance_from_columbia_mi,month,typical_dates,attendance_estimate,attendance_text,food_vendor_fee,application_method,contact_name,contact_email,contact_phone,homepage_url,primary_source_url,lat,lng,notes,last_verified
500,1,Callaway Raceway,Fulton,MO,Callaway,dirt_track,weekly,true,unconfirmed,hometown,partial,true,26,,"Weekly race nights, 2026 season",,Grandstand crowd (unverified),,Call track to confirm outside-cart policy,,,,callawayraceway.com/schedule,callawayraceway.com/schedule,38.8467,-91.9479,CLOSEST dirt track (~25 mi). USRA/POWRi classes. Verify official site + vendor policy (hyphenated 'callaway-raceway.com' is NOT correct).,2026-07-13
501,1,Moberly Motorsports Park,Moberly,MO,Randolph,dirt_track,weekly,true,unconfirmed,hometown,partial,true,33,,"Weekly dirt oval, 2026 season",,(unverified),,Call to confirm vendor policy,,,,moberlymotorsportspark.com,moberlymotorsportspark.com,39.4184,-92.4382,"fka Randolph County Raceway, 4081 US-24. ~40 min N. Weekly nights; policy unverified.",2026-07-13
502,1,Double X Speedway,California,MO,Moniteau,dirt_track,weekly,true,excluded,hometown,excluded,false,33,5,Sun nights May 3-Aug 2,,(unverified),,,,,,doublexspeedway.com,doublexspeedway.com,38.6303,-92.5666,COMPETES: track sells its own hot dogs $1.50 / Polish $2.50. Likely blocked for a dog cart.,2026-07-13
503,24,Central Missouri Speedway,Warrensburg,MO,Johnson,dirt_track,weekly,true,unconfirmed,day_trip,partial,true,95,,Weekly Sat series Apr-Sep,,(unverified),,Call to confirm,,,,,,38.7628,-93.736,~1.5 hr W. POWRi B-Mods/Super Stocks. Weekly Saturday; policy unverified.,2026-07-13
504,4,Lucas Oil Speedway (marquee events),Wheatland,MO,Hickory,dirt_track,annual,false,excluded,day_trip,partial,true,120,5,Show-Me 100 May 21-23; Fall Nationals Sep 29-Oct 3,,National-event crowds,,Special-event application only (417-282-5984 / lisa@LucasOilSpeedway.com),,,417-282-5984,lucasoilspeedway.com,lucasoilspeedway.com,37.9484,-93.4066,Marquee national venue ~2.5-3 hr. Midway booths are NON-food; concessions in-house. Cart only via special-event app.,2026-07-13
505,1,Rocheport Second Saturdays,Rocheport,MO,Boone,festival,monthly,true,explicit_yes,hometown,verified,false,14,,"2nd Sat, Apr-Oct",,Town street crowd,,"Book via Rocheport Area Merchants Assn (Community Hall, 503 3rd St)",,,,,,38.9769,-92.5627,BEST open door near home (~20 min). CONFIRMED rotating vendors incl. food trucks.,2026-07-13
506,1,Les Bourgeois A-Frame Winegarden,Rocheport,MO,Boone,winery,weekly,true,unconfirmed,hometown,partial,true,14,6,"Free Summer Music, Fri 6-9pm, Jun-Aug",,Weekly free-admission music crowd,,Confirm cart access (venue serves 'light eats'),,,,labourgeois.com,labourgeois.com,38.9769,-92.5627,Closest winery (~20 min). Recurring Friday crowds; no published food-truck policy - outreach.,2026-07-13
507,3,Augusta Harvest Festival,Augusta,MO,St. Charles,winery,annual,false,explicit_yes,day_trip,verified,false,105,9,"Sep 19-20, 2026",,Town-square festival,booth reservation,Vendor application (Augusta Chamber 636-228-4005),,,636-228-4005,,,38.5714,-90.8807,Explicitly welcomes street food + runs a vendor application. ~1.5 hr toward STL.,2026-07-13
508,3,Augusta Bottoms Festival,Augusta,MO,St. Charles,winery,annual,false,explicit_yes,day_trip,verified,false,105,11,"Nov 7, 2026",,Festival crowd,,Greater Augusta Chamber (636-228-4005),,,636-228-4005,,,38.5714,-90.8807,Advertises 'Live Music ~ Food Trucks ~ Vendors'. Cart-friendly.,2026-07-13
509,1,OakGlenn Vineyards live music,Hermann,MO,Gasconade,winery,weekly,true,unconfirmed,day_trip,partial,true,78,,"Live music most Sat/Sun, Apr-Oct",,Weekend patio crowd,,Direct outreach,,,,oakglenn.com,oakglenn.com,38.7042,-91.4374,Hermann (~1.5-2 hr). Recurring weekend live music; policy unverified.,2026-07-13
